Phrase,SoundsLike,IPA,DisplayAs,Notes
A.-I.-assisted,,eɪ aɪ əˈsɪstəd,AI-Assisted,"Artificial Intelligence supported processes or tasks"
A.-I.-driven,,eɪ aɪ ˈdrɪvən,AI-Driven,"Primarily controlled by Artificial Intelligence"
A.-I.-enhanced,,eɪ aɪ ɪnˈhænst,AI-Enhanced,"Improved with Artificial Intelligence capabilities"
A.-I.-generated,,eɪ aɪ ˈdʒɛnəreɪtɪd,AI-Generated,"Content created by Artificial Intelligence"
A.-I.-powered,,eɪ aɪ ˈpaʊərd,AI-Powered,"Operated by Artificial Intelligence"
A.-P.-I.,,eɪ piː aɪ,API,"Application Programming Interface"
A.-P.-I.-gateway,,eɪ piː aɪ ˈgeɪtweɪ,API Gateway,"Manages API requests and routing"
A.-P.-I.-s,,eɪ piː aɪ ɛs,APIs,"Plural of API"
A.-R.,,eɪ ɑːr,AR,"Augmented Reality"
A.-W.-S.-I.-O.-T.,,eɪ ˈdʌbəljuː ɛs aɪ əʊ tiː,AWS IoT,"Amazon Web Services Internet of Things"
A.-W.-S.-W.-A.-F.,,eɪ ˈdʌbəljuː ɛs ˈdʌbəljuː eɪ ɛf,AWS WAF,"Amazon Web Services Web Application Firewall"
A.-W.-S.-iam,,eɪ ˈdʌbəljuː ɛs aɪ æm,AWS IAM,"Amazon Web Services Identity and Access Management"
B.-C.-I.,,biː siː aɪ,BCI,"Brain-Computer Interface"
B.-C.-I.-powered,,biː siː aɪ ˈpaʊərd,BCI-Powered,"Operated using brain-computer interface"
C.-C.-T.-V.,,siː siː tiː viː,CCTV,"Closed-Circuit Television"
C.-D.-N.,,siː diː ɛn,CDN,"Content Delivery Network"
C.-F.-R.,,siː ɛf ɑːr,CFR,"Code of Federal Regulations"
C.-I.-C.-D.,,siː aɪ siː diː,CI/CD,"Continuous Integration/Continuous Deployment"
C.-I.-pipeline,,siː aɪ ˈpaɪplaɪn,CI Pipeline,"Continuous Integration Pipeline"
C.-L.-I.,,siː ɛl aɪ,CLI,"Command Line Interface"
C.-M.-D.-B.,,siː ɛm diː biː,CMDB,"Configuration Management Database"
C.-P.-G.,,siː piː dʒiː,CPG,"Consumer Packaged Goods"
C.-Q.-R.-S.,,siː kjuː ɑːr ɛs,CQRS,"Command Query Responsibility Segregation"
C.-R.-I.-S.-P.-R.-based,,ˈkrɪspər beɪst,CRISPR-Based,"Using CRISPR gene editing technology"
C.-S.-R.-F.,,siː ɛs ɑːr ɛf,CSRF,"Cross-Site Request Forgery"
C.-T.-F.,,siː tiː ɛf,CTF,"Capture The Flag"
C.-plus-plus,,siː plʌs plʌs,C++,"Programming language"
D.-D.-O.-S.,,diː diː əʊ ɛs,DDoS,"Distributed Denial of Service"
D.-F.,,diː ɛf,DF,"Digital Forensics"
D.-N.-A.,,diː ɛn eɪ,DNA,"Deoxyribonucleic Acid"
D.-N.-S.,,diː ɛn ɛs,DNS,"Domain Name System"
D.-R.-I.,,diː ɑːr aɪ,DRI,"Directly Responsible Individual"
E.-E.-G.,,iː iː dʒiː,EEG,"Electroencephalogram"
E.-M.-P.,,iː ɛm piː,EMP,"Electromagnetic Pulse"
E.-T.-L.,,iː tiː ɛl,ETL,"Extract, Transform, Load"
E.-V.,,iː viː,EV,"Electric Vehicle"
E.-readers,,iː ˈriːdərz,E-Readers,"Digital book devices"
F.-T.-P.,,ɛf tiː piː,FTP,"File Transfer Protocol"
F.-T.-P.-S.,,ɛf tiː piː ɛs,FTPS,"FTP Secure"
G.-R.-P.-C.,,dʒiː ɑːr piː siː,GRPC,"gRPC Remote Procedure Call"
H.-C.-I.,,eɪtʃ siː aɪ,HCI,"Human-Computer Interaction or Hyperconverged Infrastructure"
H.-R.,,eɪtʃ ɑːr,HR,"Human Resources"
H.-T.-T.-P.-S.,,eɪtʃ tiː tiː piː ɛs,HTTPS,"Hypertext Transfer Protocol Secure"
I.-D.-E.,,aɪ diː iː,IDE,"Integrated Development Environment"
I.-D.-E.-A.-S.,,aɪ diː iː eɪ ɛs,IDEAS,"Integrated Development Environment with Advanced Services"
I.-M.,,aɪ ɛm,IM,"Instant Messaging"
I.-M.-O.-C.,,aɪ ɛm əʊ siː,IMOC,"In My Own Context"
I.-O.-T.,,aɪ əʊ tiː,IOT,"Internet of Things"
I.-O.-T.-enabled,,aɪ əʊ tiː ɪnˈeɪbəld,IoT-Enabled,"Connected to Internet of Things"
I.-R.,,aɪ ɑːr,IR,"Infrared"
I.-T.,,aɪ tiː,IT,"Information Technology"
J.-W.-T.,,dʒeɪ ˈdʌbəljuː tiː,JWT,"JSON Web Token"
J.-son,,ˈdʒeɪsən,JSON,"JavaScript Object Notation"
K.-E.-D.-B.,,keɪ iː diː biː,KEDB,"Known Error Database"
K.-eight-s-cluster,,keɪ eɪts ˈklʌstə,K8s Cluster,"Kubernetes Cluster"
K.-eights,,keɪ eɪts,K8s,"Short for Kubernetes"
L.-L.-M.,,ɛl ɛl ɛm,LLM,"Large Language Model"
L.-L.-M.-assisted,,ɛl ɛl ɛm əˈsɪstɪd,LLM-Assisted,"Supported by large language models"
L.-T.,,ɛl tiː,LT,"Long Term"
M.-L.,,ɛm ɛl,ML,"Machine Learning"
M.-T.-T.-R.,,ɛm tiː tiː ɑːr,MTTR,"Mean Time To Repair/Recovery"
M.-V.-C.,,ɛm viː siː,MVC,"Model-View-Controller"
N.-L.-P.,,ɛn ɛl piː,NLP,"Natural Language Processing"
N.-O.-C.,,ɛn əʊ siː,NOC,"Network Operations Center"
